method,split,tau,pm_rate,pm_count,pm_reduction,claims_retained_mean,task_correct_pm_rate,cb_retention_rate,removed_cb_fraction,cb_claims_removed
BCP_single_head_y_pm,test,0.3,0.0,0,0.3561643835616438,0.8424657534246576,0.0,,,
BCP_single_head_y_pm,test,0.4,0.03424657534246575,5,0.32191780821917804,1.273972602739726,0.03125,,,
BCP_single_head_y_pm,test,0.5,0.0958904109589041,14,0.2602739726027397,1.7945205479452055,0.125,,,
BCP_single_head_y_pm,test,0.6,0.2465753424657534,36,0.1095890410958904,2.2054794520547945,0.25,,,
BCP_single_head_y_pm,test,0.7,0.3082191780821918,45,0.047945205479452024,2.3904109589041096,0.28125,,,
BCP_single_head_y_pm,test,0.8,0.3082191780821918,45,0.047945205479452024,2.3972602739726026,0.28125,,,
BCP_single_head_y_pm,train,0.3,0.004405286343612335,3,0.34067547723935393,0.8252569750367107,0.020134228187919462,,,
BCP_single_head_y_pm,train,0.4,0.01762114537444934,12,0.3274596182085169,1.2466960352422907,0.026845637583892617,,,
BCP_single_head_y_pm,train,0.5,0.09397944199706314,64,0.2511013215859031,1.8604992657856094,0.15436241610738255,,,
BCP_single_head_y_pm,train,0.6,0.24375917767988253,166,0.10132158590308371,2.3010279001468428,0.26174496644295303,,,
BCP_single_head_y_pm,train,0.7,0.2936857562408223,200,0.05139500734214392,2.4522760646108663,0.28187919463087246,,,
BCP_single_head_y_pm,train,0.8,0.2966226138032305,202,0.048458149779735726,2.474302496328928,0.28859060402684567,,,
BCP_single_head_y_pm,val,0.3,0.00684931506849315,1,0.3287671232876712,0.7465753424657534,0.0,,,
BCP_single_head_y_pm,val,0.4,0.0136986301369863,2,0.3219178082191781,1.1369863013698631,0.0,,,
BCP_single_head_y_pm,val,0.5,0.08904109589041095,13,0.24657534246575344,1.7465753424657535,0.05405405405405406,,,
BCP_single_head_y_pm,val,0.6,0.2328767123287671,34,0.10273972602739728,2.1780821917808217,0.10810810810810811,,,
BCP_single_head_y_pm,val,0.7,0.2671232876712329,39,0.0684931506849315,2.287671232876712,0.13513513513513514,,,
BCP_single_head_y_pm,val,0.8,0.2808219178082192,41,0.0547945205479452,2.308219178082192,0.1891891891891892,,,
MSPS,val,0.3,0.0,0,0.3356164383561644,0.8013698630136986,,0.33136094674556216,0.4788135593220339,113
MSPS,val,0.35,0.0,0,0.3356164383561644,0.9383561643835616,,0.4378698224852071,0.4398148148148148,95
MSPS,val,0.4,0.0,0,0.3356164383561644,1.1027397260273972,,0.5502958579881657,0.3958333333333333,76
MSPS,val,0.45,0.02054794520547945,3,0.31506849315068497,1.404109589041096,,0.7041420118343196,0.33783783783783783,50
MSPS,val,0.5,0.0547945205479452,8,0.2808219178082192,1.6232876712328768,,0.8224852071005917,0.25862068965517243,30
MSPS,val,0.55,0.0958904109589041,14,0.2397260273972603,1.8082191780821917,,0.9053254437869822,0.1797752808988764,16
MSPS,val,0.6,0.17123287671232876,25,0.16438356164383564,1.9589041095890412,,0.9349112426035503,0.16417910447761194,11
MSPS,val,0.65,0.21232876712328766,31,0.12328767123287673,2.143835616438356,,0.9822485207100592,0.075,3
MSPS,val,0.7,0.2465753424657534,36,0.08904109589041098,2.212328767123288,,0.9940828402366864,0.03333333333333333,1
MSPS,val,0.75,0.2602739726027397,38,0.07534246575342468,2.267123287671233,,0.9940828402366864,0.045454545454545456,1
MSPS,val,0.8,0.273972602739726,40,0.06164383561643838,2.3013698630136985,,1.0,0.0,0
MSPS,test,0.3,0.0,0,0.3561643835616438,0.910958904109589,,0.33689839572192515,0.5254237288135594,124
MSPS,test,0.35,0.0,0,0.3561643835616438,1.0890410958904109,,0.45454545454545453,0.4857142857142857,102
MSPS,test,0.4,0.0136986301369863,2,0.3424657534246575,1.2808219178082192,,0.5668449197860963,0.44505494505494503,81
MSPS,test,0.45,0.04794520547945205,7,0.3082191780821918,1.4794520547945205,,0.6737967914438503,0.39869281045751637,61
MSPS,test,0.5,0.07534246575342465,11,0.2808219178082192,1.643835616438356,,0.7647058823529411,0.34108527131782945,44
MSPS,test,0.55,0.1232876712328767,18,0.2328767123287671,1.8972602739726028,,0.8823529411764706,0.2391304347826087,22
MSPS,test,0.6,0.17123287671232876,25,0.18493150684931506,2.1164383561643834,,0.9572192513368984,0.13333333333333333,8
MSPS,test,0.65,0.23972602739726026,35,0.11643835616438356,2.23972602739726,,0.9786096256684492,0.09523809523809523,4
MSPS,test,0.7,0.2808219178082192,41,0.07534246575342463,2.335616438356164,,0.9946524064171123,0.03571428571428571,1
MSPS,test,0.75,0.3082191780821918,45,0.047945205479452024,2.3972602739726026,,1.0,0.0,0
MSPS,test,0.8,0.3082191780821918,45,0.047945205479452024,2.3972602739726026,,1.0,0.0,0
