cohort_key,domain,model,paper_denominator_n,cell_key,count,rate
shopping_qwen_n249,shopping,qwen3-32b,249,task_correct__binding_clean_or_correct,50,0.20080321285140562
shopping_qwen_n249,shopping,qwen3-32b,249,task_correct__phantom_merge,12,0.04819277108433735
shopping_qwen_n249,shopping,qwen3-32b,249,task_correct__pure_hallucination_only,7,0.028112449799196786
shopping_qwen_n249,shopping,qwen3-32b,249,task_incorrect__binding_clean_or_correct,123,0.4939759036144578
shopping_qwen_n249,shopping,qwen3-32b,249,task_incorrect__no_checkable_claims,2,0.008032128514056224
shopping_qwen_n249,shopping,qwen3-32b,249,task_incorrect__phantom_merge,33,0.13253012048192772
shopping_qwen_n249,shopping,qwen3-32b,249,task_incorrect__pure_hallucination_only,22,0.08835341365461848
shopping_mistral_n250,shopping,mistral-24b,250,task_correct__binding_clean_or_correct,59,0.236
shopping_mistral_n250,shopping,mistral-24b,250,task_correct__no_checkable_claims,1,0.004
shopping_mistral_n250,shopping,mistral-24b,250,task_correct__phantom_merge,16,0.064
shopping_mistral_n250,shopping,mistral-24b,250,task_correct__pure_hallucination_only,4,0.016
shopping_mistral_n250,shopping,mistral-24b,250,task_incorrect__binding_clean_or_correct,123,0.492
shopping_mistral_n250,shopping,mistral-24b,250,task_incorrect__phantom_merge,33,0.132
shopping_mistral_n250,shopping,mistral-24b,250,task_incorrect__pure_hallucination_only,14,0.056
fhir_qwen_n973,fhir,qwen3-32b,973,task_correct__binding_clean_or_correct,71,0.07297019527235354
fhir_qwen_n973,fhir,qwen3-32b,973,task_correct__phantom_merge,65,0.06680369989722508
fhir_qwen_n973,fhir,qwen3-32b,973,task_correct__pure_hallucination_only,82,0.0842754367934224
fhir_qwen_n973,fhir,qwen3-32b,973,task_incorrect__binding_clean_or_correct,215,0.2209660842754368
fhir_qwen_n973,fhir,qwen3-32b,973,task_incorrect__phantom_merge,271,0.27852004110996914
fhir_qwen_n973,fhir,qwen3-32b,973,task_incorrect__pure_hallucination_only,269,0.27646454265159304
fhir_mistral_n847,fhir,mistral-24b,847,task_correct__binding_clean_or_correct,37,0.043683589138134596
fhir_mistral_n847,fhir,mistral-24b,847,task_correct__phantom_merge,101,0.1192443919716647
fhir_mistral_n847,fhir,mistral-24b,847,task_correct__pure_hallucination_only,53,0.06257378984651712
fhir_mistral_n847,fhir,mistral-24b,847,task_incorrect__binding_clean_or_correct,76,0.089728453364817
fhir_mistral_n847,fhir,mistral-24b,847,task_incorrect__phantom_merge,321,0.3789846517119244
fhir_mistral_n847,fhir,mistral-24b,847,task_incorrect__pure_hallucination_only,259,0.30578512396694213
